customer_id,customer_type,customer_name,gender,birth_date,age,city,province,latitude,longitude,vehicle_id,vehicle_type,vehicle_brand,vehicle_year,vehicle_age,plate_region,organization_name,transaction_id,transaction_date,last_payment_date,payment_status,sw_amount,penalty_amount,claim_id,claim_count,claim_amount,journal_amount,inflation_rate,weather_condition,economic_index,segment,renewal_probability,cross_sell_score,retention_score,churn_risk,preferred_channel,last_campaign,campaign_response,predicted_revenue,data_quality_score
CUST000001,Individual,Faisal Sari,Male,1952-01-03,74,Bogor,Jawa Barat,-6.668284,106.777246,VEH000001,Motorcycle,TVS,2024,2,D,,TRX000001,2023-02-24,2022-09-10,Overdue,41318,100000,CLM000001,5,25000000,141318,4.74,Sunny,108.2,Growth,0.536,0.462,0.833,0.185,SMS,Renewal Reminder,Clicked,75460.5,0.944
CUST000002,Individual,Hendra Santoso,Male,1992-04-25,34,Prabumulih,Sumatera Selatan,-3.498396,104.204206,VEH000002,Motorcycle,Honda,2012,14,BG,,TRX000002,2023-07-26,2022-12-12,Paid,40399,0,,0,0,40399,2.98,Sunny,89.3,At Risk,0.277,0.263,0.101,0.864,SMS,MTPL Cross-sell,Converted,22138.6,0.884
CUST000003,Individual,Ratna Wahyudi,Female,1963-10-23,63,Samarinda,Kalimantan Timur,-0.545513,117.078899,VEH000003,Motorcycle,Kawasaki,2017,9,KH,,TRX000003,2025-07-28,2023-03-20,Paid,34952,0,,0,0,34952,2.55,Cloudy,111.4,Standard,0.399,0.649,0.504,0.141,SMS,Renewal Reminder,Opened,44434.0,0.851
CUST000004,Organization,Organization 0004,N/A,,,Jakarta Timur,DKI Jakarta,-6.211113,106.975852,VEH000004,Bus,Isuzu,2025,1,B,PT Prima 004,TRX000004,2024-11-27,2022-09-23,Paid,866936,0,CLM000004,3,45000000,866936,4.55,Cloudy,83.7,Growth,0.737,0.603,0.53,0.2,SMS,No Campaign,Not Contacted,2053024.0,0.97
CUST000005,Individual,Agus Rahayu,Male,1986-02-03,40,Palembang,Sumatera Selatan,-2.907111,104.798904,VEH000005,Passenger Car,Honda,2022,4,BG,,TRX000005,2023-09-15,2022-08-05,Overdue,182859,25000,,0,0,207859,4.99,Sunny,87.4,Growth,0.692,0.48,0.575,0.448,Mobile App,MTPL Cross-sell,Not Contacted,183902.6,0.804
CUST000006,Individual,Fajar Wahyudi,Male,1952-06-03,74,Solo,Jawa Tengah,-7.541877,110.752679,VEH000006,Passenger Car,Mitsubishi,2026,0,AD,,TRX000006,2025-09-21,2023-08-13,Overdue,170075,100000,,0,0,270075,3.39,Sunny,83.3,Growth,0.542,0.564,0.796,0.072,Mobile App,MTPL Cross-sell,No Response,346606.6,0.942
CUST000007,Organization,Organization 0007,N/A,,,Cimahi,Jawa Barat,-6.883658,107.527746,VEH000007,Bus,Mercedes-Benz,2019,7,T,Koperasi Abadi 007,TRX000007,2026-02-01,2022-12-18,Paid,1169741,0,,0,0,1169741,5.38,Rainy,109.7,Standard,0.519,0.296,0.46,0.126,Call Center,No Campaign,Not Contacted,809137.2,0.938
CUST000008,Individual,Ayu Santoso,Female,1987-12-18,39,Jakarta Utara,DKI Jakarta,-6.095536,106.771991,VEH000008,Motorcycle,Suzuki,2006,20,B,,TRX000008,2023-04-13,2023-03-27,Paid,44371,0,,0,0,44371,1.73,Cloudy,109.8,Standard,0.331,0.588,0.462,0.524,WhatsApp,MTPL Cross-sell,No Response,21749.9,0.908
CUST000009,Individual,Maya Kusuma,Female,1992-11-10,34,Kediri,Jawa Timur,-7.863597,112.046081,VEH000009,Passenger Car,Honda,2005,21,P,,TRX000009,2025-07-27,2022-12-22,Paid,140892,0,,0,0,140892,5.23,Rainy,110.8,Standard,0.371,0.575,0.581,0.375,Email,No Campaign,Not Contacted,57569.2,0.946
CUST000010,Individual,Rudi Setiawan,Male,1988-04-23,38,Medan,Sumatera Utara,3.557511,98.73458,VEH000010,Motorcycle,Suzuki,2021,5,BA,,TRX000010,2025-09-27,2023-10-28,Due Soon,43345,0,CLM000010,4,25000000,43345,1.68,Sunny,84.6,Premium,0.745,0.755,0.919,0.089,SMS,No Campaign,Not Contacted,146594.5,0.786
